技能别名主键,标准技能名称,技能别名,技能大组,技能子组,技能性质,匹配策略,词典置信度,来源依据,备注,别名标准化键,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,是否AI核心技能,同名候选技能数,别名映射状态
BM01032,AI工具应用,AI辅助编程,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ai辅助编程,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01033,AI工具应用,ChatGPT,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,chatgpt,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01040,AI工具应用,Claude,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,claude,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01045,AI工具应用,Claude Code,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,claudecode,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01048,AI工具应用,CodeGeeX,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,codegeex,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01041,AI工具应用,Copilot,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,copilot,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01044,AI工具应用,Cursor,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,cursor,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01052,AI工具应用,DALL-E,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,dall-e,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01034,AI工具应用,DeepSeek,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,deepseek,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01035,AI工具应用,Gemini,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,gemini,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01043,AI工具应用,GitHub Copilot,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,githubcopilot,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01039,AI工具应用,Kimi,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,kimi,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01042,AI工具应用,Microsoft Copilot,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,microsoftcopilot,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01050,AI工具应用,Midjourney,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,midjourney,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01054,AI工具应用,Runway,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,runway,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01053,AI工具应用,Sora,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,sora,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01051,AI工具应用,Stable Diffusion,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,stablediffusion,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01046,AI工具应用,Trae,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,trae,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01047,AI工具应用,Trea,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,trea,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01049,AI工具应用,Windsurf,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,windsurf,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01027,AI工具应用,人工智能工具,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,人工智能工具,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01058,AI工具应用,即梦,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,中,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,即梦,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01056,AI工具应用,即梦AI,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,即梦ai,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01057,AI工具应用,可灵,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,中,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,可灵,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01055,AI工具应用,可灵AI,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,可灵ai,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01029,AI工具应用,大模型工具,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,大模型工具,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01036,AI工具应用,文心一言,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,文心一言,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01028,AI工具应用,生成式AI工具,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,生成式ai工具,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01038,AI工具应用,豆包,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,中,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,豆包,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01037,AI工具应用,通义千问,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,通义千问,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01206,ANSYS,ANSYS,机械电子电气制造,工程仿真软件,专业技能/工具软件,title_or_requirement,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ansys,JN0379,ANSYS（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,否,1,唯一映射
BM01442,AOI检测,AOI,质量安全生产,质量方法与管理体系,专业技能/标准与方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,aoi,JN0466,AOI检测（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
